Id,X,Y,Signal,Bincode
1,212,149,243,504.0
2,212,202,20,500.0
3,212,220,20,500.0
4,212,245,20,500.0
5,213,-293,83,501.0
6,213,-292,83,501.0
7,213,-290,83,501.0
8,213,-173,74,501.0
9,213,-169,74,501.0
10,213,88,243,504.0
11,213,89,243,504.0
12,213,98,116,502.0
13,213,116,70,501.0
14,213,117,70,501.0
15,213,124,206,504.0
16,213,157,20,500.0
17,213,158,20,500.0
18,213,162,20,500.0
19,213,202,20,500.0
20,213,245,20,500.0
21,214,-259,83,501.0
22,214,-227,243,504.0
23,214,-11,74,501.0
24,214,-5,74,501.0
25,214,82,50,500.0
26,214,116,70,501.0
27,214,125,206,504.0
28,214,128,206,504.0
29,215,-290,83,501.0
30,215,-271,50,500.0
31,215,-172,179,503.0
32,215,-171,179,503.0
33,215,-170,179,503.0
34,215,66,100,502.0
35,215,96,116,502.0
36,215,98,116,502.0
37,215,99,116,502.0
38,215,114,70,501.0
39,215,115,70,501.0
40,215,116,70,501.0
41,215,165,116,502.0
42,215,168,116,502.0
43,216,-259,83,501.0
44,216,-258,83,501.0
45,216,-257,83,501.0
46,216,-256,83,501.0
47,216,-191,100,502.0
48,216,-171,179,503.0
49,216,-118,243,504.0
50,216,-117,243,504.0
51,216,-8,179,503.0
52,216,65,100,502.0
53,216,167,116,502.0
54,217,-283,206,504.0
55,217,-192,100,502.0
56,217,-179,116,502.0
57,217,-173,74,501.0
58,217,-169,74,501.0
59,217,-118,50,500.0
60,217,-9,179,503.0
61,217,-8,179,503.0
62,217,-7,179,503.0
63,217,64,100,502.0
64,217,96,116,502.0
65,217,166,116,502.0
66,217,169,116,502.0
67,217,191,70,501.0
68,217,216,74,501.0
69,217,285,20,500.0
70,218,-193,100,502.0
71,218,-174,74,501.0
72,218,-168,74,501.0
73,218,-94,70,501.0
74,218,-93,70,501.0
75,218,-8,179,503.0
76,218,81,74,501.0
77,218,96,116,502.0
78,218,132,243,504.0
79,218,144,83,501.0
80,218,145,83,501.0
81,218,146,83,501.0
82,218,147,83,501.0
83,218,191,70,501.0
84,218,201,100,502.0
85,218,216,74,501.0
86,218,236,70,501.0
87,218,237,70,501.0
88,219,-285,206,504.0
89,219,-271,50,500.0
90,219,-270,243,504.0
91,219,-233,243,504.0
92,219,-232,243,504.0
93,219,-228,243,504.0
94,219,-227,243,504.0
95,219,-194,100,502.0
96,219,-146,111,502.0
97,219,-140,111,502.0
98,219,-120,50,500.0
99,219,-10,74,501.0
100,219,-6,74,501.0
101,219,144,83,501.0
102,219,191,70,501.0
103,219,202,100,502.0
104,219,216,74,501.0
105,219,236,70,501.0
106,220,-271,243,504.0
107,220,-270,243,504.0
108,220,-233,243,504.0
109,220,-232,243,504.0
110,220,-228,243,504.0
111,220,-227,243,504.0
112,220,-145,74,501.0
113,220,-141,74,501.0
114,220,-60,243,504.0
115,220,-59,50,500.0
116,220,-11,74,501.0
117,220,-5,74,501.0
118,220,10,116,502.0
119,220,104,83,501.0
120,220,105,83,501.0
121,220,144,83,501.0
122,220,208,20,500.0
123,220,213,74,501.0
124,220,214,74,501.0
125,220,215,74,501.0
126,220,217,74,501.0
127,220,218,74,501.0
128,220,219,74,501.0
129,220,230,243,504.0
130,220,234,70,501.0
131,220,235,70,501.0
132,220,236,70,501.0
133,220,262,179,503.0
134,221,-284,206,504.0
135,221,-234,243,504.0
136,221,-220,20,500.0
137,221,-219,20,500.0
138,221,-216,20,500.0
139,221,-214,20,500.0
140,221,-143,116,502.0
141,221,-76,70,501.0
142,221,-60,243,504.0
143,221,-59,243,504.0
144,221,-55,243,504.0
145,221,-47,20,500.0
146,221,25,70,501.0
147,221,26,70,501.0
148,221,27,70,501.0
149,221,72,111,502.0
150,221,120,50,500.0
151,221,128,50,500.0
152,221,169,116,502.0
153,221,216,74,501.0
154,221,260,74,501.0
155,221,264,74,501.0
156,222,-283,206,504.0
157,222,-280,206,504.0
158,222,-144,116,502.0
159,222,-142,116,502.0
160,222,-76,70,501.0
161,222,-61,50,500.0
162,222,-47,20,500.0
163,222,25,70,501.0
164,222,71,74,501.0
165,222,121,90,501.0
166,222,122,90,501.0
167,222,126,90,501.0
168,222,127,90,501.0
169,222,155,74,501.0
170,222,161,74,501.0
171,222,168,116,502.0
172,222,171,116,502.0
173,222,190,206,504.0
174,222,216,74,501.0
175,222,259,74,501.0
176,222,265,74,501.0
177,223,-262,20,500.0
178,223,-252,83,501.0
179,223,-250,83,501.0
180,223,-167,243,504.0
181,223,-166,243,504.0
182,223,-160,50,500.0
183,223,-152,50,500.0
184,223,-143,116,502.0
185,223,-76,70,501.0
186,223,24,70,501.0
187,223,25,70,501.0
188,223,35,74,501.0
189,223,83,70,501.0
190,223,84,70,501.0
191,223,121,90,501.0
192,223,122,50,500.0
193,223,126,50,500.0
194,223,127,90,501.0
195,223,156,74,501.0
196,223,160,74,501.0
197,223,190,206,504.0
198,223,216,74,501.0
199,223,247,100,502.0
200,224,-282,206,504.0
201,224,-262,20,500.0
202,224,-207,74,501.0
203,224,-206,74,501.0
204,224,-165,50,500.0
205,224,-159,90,501.0
206,224,-158,90,501.0
207,224,-154,90,501.0
208,224,-153,90,501.0
209,224,-145,74,501.0
210,224,-141,74,501.0
211,224,-134,70,501.0
212,224,34,74,501.0
213,224,83,70,501.0
214,224,158,179,503.0
215,224,248,100,502.0
216,225,-252,83,501.0
217,225,-159,90,501.0
218,225,-158,50,500.0
219,225,-154,50,500.0
220,225,-153,90,501.0
221,225,-146,111,502.0
222,225,-140,111,502.0
223,225,-118,74,501.0
224,225,-114,70,501.0
225,225,-113,70,501.0
226,225,-112,70,501.0
227,225,-104,166,503.0
228,225,-84,70,501.0
229,225,-83,70,501.0
230,225,-76,70,501.0
231,225,-47,20,500.0
232,225,69,116,502.0
233,225,93,70,501.0
234,225,94,70,501.0
235,225,124,50,500.0
236,225,157,179,503.0
237,225,158,179,503.0
238,225,159,179,503.0
239,225,189,206,504.0
240,225,190,206,504.0
241,225,192,206,504.0
242,225,226,70,501.0
243,225,227,70,501.0
244,225,249,100,502.0
245,226,-235,243,504.0
246,226,-232,70,501.0
247,226,-231,70,501.0
248,226,-230,70,501.0
249,226,-229,70,501.0
250,226,-177,83,501.0
251,226,-176,83,501.0
252,226,-175,83,501.0
253,226,-174,83,501.0
254,226,-120,116,502.0
255,226,-114,70,501.0
256,226,-104,166,503.0
257,226,-84,70,501.0
258,226,-76,70,501.0
259,226,-47,20,500.0
260,226,67,74,501.0
261,226,71,74,501.0
262,226,137,100,502.0
263,226,226,70,501.0
264,226,250,100,502.0
265,227,-262,20,500.0
266,227,-257,116,502.0
267,227,-235,243,504.0
268,227,-204,74,501.0
269,227,-174,83,501.0
270,227,-156,50,500.0
271,227,-120,116,502.0
272,227,-119,116,502.0
273,227,-115,70,501.0
274,227,-114,70,501.0
275,227,-104,166,503.0
276,227,-101,166,503.0
277,227,-97,166,503.0
278,227,-86,70,501.0
279,227,-85,70,501.0
280,227,-84,70,501.0
281,227,-70,100,502.0
282,227,-47,20,500.0
283,227,2,116,502.0
284,227,9,70,501.0
285,227,10,70,501.0
286,227,66,111,502.0
287,227,72,111,502.0
288,227,121,90,501.0
289,227,122,50,500.0
290,227,126,50,500.0
291,227,127,90,501.0
292,227,136,100,502.0
293,227,190,206,504.0
294,227,240,116,502.0
295,227,251,100,502.0
296,228,-262,20,500.0
297,228,-236,243,504.0
298,228,-187,100,502.0
299,228,-174,83,501.0
300,228,-166,70,501.0
301,228,-120,116,502.0
302,228,-104,166,503.0
303,228,-69,100,502.0
304,228,9,70,501.0
305,228,121,90,501.0
306,228,122,90,501.0
307,228,126,90,501.0
308,228,127,90,501.0
309,228,135,100,502.0
310,228,190,206,504.0
311,229,-262,20,500.0
312,229,-259,116,502.0
313,229,-256,116,502.0
314,229,-188,100,502.0
315,229,-159,90,501.0
316,229,-158,50,500.0
317,229,-154,50,500.0
318,229,-153,90,501.0
319,229,-68,100,502.0
320,229,3,116,502.0
321,229,7,70,501.0
322,229,8,70,501.0
323,229,9,70,501.0
324,229,120,50,500.0
325,229,128,50,500.0
326,229,134,100,502.0
327,229,146,50,500.0
328,230,-257,116,502.0
329,230,-189,100,502.0
330,230,-159,90,501.0
331,230,-158,90,501.0
332,230,-154,90,501.0
333,230,-153,90,501.0
334,230,-101,166,503.0
335,230,-98,166,503.0
336,230,-67,100,502.0
337,230,-11,83,501.0
338,230,-10,83,501.0
339,230,-9,83,501.0
340,230,-8,83,501.0
341,230,77,83,501.0
342,230,78,83,501.0
343,230,79,83,501.0
344,230,147,90,501.0
345,230,165,116,502.0
346,230,168,116,502.0
347,231,-258,116,502.0
348,231,-255,116,502.0
349,231,-190,100,502.0
350,231,-160,50,500.0
351,231,-152,50,500.0
352,231,-8,83,501.0
353,231,79,83,501.0
354,231,147,90,501.0
355,231,154,20,500.0
356,231,155,20,500.0
357,231,156,20,500.0
358,231,159,20,500.0
359,231,160,20,500.0
360,231,170,243,504.0
361,231,200,50,500.0
362,231,208,50,500.0
363,232,-191,100,502.0
364,232,-98,166,503.0
365,232,-97,166,503.0
366,232,-96,166,503.0
367,232,-8,83,501.0
368,232,79,83,501.0
369,232,94,116,502.0
370,232,167,116,502.0
371,232,201,90,501.0
372,232,202,90,501.0
373,232,206,90,501.0
374,232,207,90,501.0
375,232,223,111,502.0
376,232,229,111,502.0
377,233,-283,20,500.0
378,233,-281,20,500.0
379,233,-228,70,501.0
380,233,-227,70,501.0
381,233,-226,70,501.0
382,233,-142,83,501.0
383,233,-140,83,501.0
384,233,-131,206,504.0
385,233,-116,20,500.0
386,233,-115,20,500.0
387,233,-112,20,500.0
388,233,-111,20,500.0
389,233,-110,20,500.0
390,233,-61,70,501.0
391,233,-60,70,501.0
392,233,79,83,501.0
393,233,94,116,502.0
394,233,105,20,500.0
395,233,201,90,501.0
396,233,202,50,500.0
